Datum,Zeit,Schritte
2026.02.19 05:37:00,05:37:00,17
2026.02.19 05:39:00,05:39:00,11
2026.02.19 05:54:00,05:54:00,30
2026.02.19 05:57:00,05:57:00,14
2026.02.19 05:58:00,05:58:00,44
2026.02.19 05:59:00,05:59:00,40
2026.02.19 06:00:00,06:00:00,48
2026.02.19 06:01:00,06:01:00,12
2026.02.19 06:02:00,06:02:00,38
2026.02.19 06:03:00,06:03:00,39
2026.02.19 06:04:00,06:04:00,12
2026.02.19 06:05:00,06:05:00,19
2026.02.19 06:06:00,06:06:00,65
2026.02.19 06:07:00,06:07:00,3
2026.02.19 06:30:00,06:30:00,17
2026.02.19 06:56:00,06:56:00,11
2026.02.19 06:57:00,06:57:00,115
2026.02.19 06:58:00,06:58:00,109
2026.02.19 06:59:00,06:59:00,58
2026.02.19 07:01:00,07:01:00,11
2026.02.19 07:04:00,07:04:00,11
2026.02.19 07:08:00,07:08:00,32
2026.02.19 07:09:00,07:09:00,54
2026.02.19 07:10:00,07:10:00,98
2026.02.19 07:11:00,07:11:00,66
2026.02.19 07:12:00,07:12:00,9
2026.02.19 07:13:00,07:13:00,16
2026.02.19 07:19:00,07:19:00,36
2026.02.19 07:20:00,07:20:00,110
2026.02.19 07:21:00,07:21:00,108
2026.02.19 07:22:00,07:22:00,91
2026.02.19 07:25:00,07:25:00,81
2026.02.19 07:26:00,07:26:00,100
2026.02.19 07:27:00,07:27:00,58
2026.02.19 07:39:00,07:39:00,59
2026.02.19 07:40:00,07:40:00,85
2026.02.19 07:41:00,07:41:00,45
2026.02.19 07:42:00,07:42:00,50
2026.02.19 07:43:00,07:43:00,51
2026.02.19 07:44:00,07:44:00,101
2026.02.19 07:45:00,07:45:00,16
2026.02.19 07:59:00,07:59:00,11
2026.02.19 08:00:00,08:00:00,23
2026.02.19 08:01:00,08:01:00,6
2026.02.19 08:02:00,08:02:00,10
2026.02.19 08:11:00,08:11:00,17
2026.02.19 08:14:00,08:14:00,7
2026.02.19 09:03:00,09:03:00,6
2026.02.19 09:04:00,09:04:00,12
2026.02.19 09:26:00,09:26:00,34
2026.02.19 09:27:00,09:27:00,75
2026.02.19 09:28:00,09:28:00,93
2026.02.19 09:29:00,09:29:00,46
2026.02.19 09:33:00,09:33:00,45
2026.02.19 09:34:00,09:34:00,62
2026.02.19 09:35:00,09:35:00,24
2026.02.19 09:36:00,09:36:00,36
2026.02.19 09:43:00,09:43:00,54
2026.02.19 10:16:00,10:16:00,21
2026.02.19 10:18:00,10:18:00,45
2026.02.19 10:19:00,10:19:00,13
2026.02.19 10:21:00,10:21:00,11
2026.02.19 10:22:00,10:22:00,28
2026.02.19 10:23:00,10:23:00,48
2026.02.19 10:24:00,10:24:00,44
2026.02.19 10:25:00,10:25:00,73
2026.02.19 10:26:00,10:26:00,9
2026.02.19 10:27:00,10:27:00,49
2026.02.19 10:28:00,10:28:00,24
2026.02.19 10:30:00,10:30:00,15
2026.02.19 10:31:00,10:31:00,13
2026.02.19 10:35:00,10:35:00,25
2026.02.19 11:13:00,11:13:00,11
2026.02.19 11:14:00,11:14:00,14
2026.02.19 11:16:00,11:16:00,16
2026.02.19 11:17:00,11:17:00,46
2026.02.19 11:18:00,11:18:00,59
2026.02.19 11:19:00,11:19:00,60
2026.02.19 11:20:00,11:20:00,66
2026.02.19 11:21:00,11:21:00,28
2026.02.19 11:22:00,11:22:00,104
2026.02.19 11:23:00,11:23:00,89
2026.02.19 11:24:00,11:24:00,106
2026.02.19 11:25:00,11:25:00,90
2026.02.19 11:26:00,11:26:00,96
2026.02.19 11:27:00,11:27:00,10
2026.02.19 11:28:00,11:28:00,22
2026.02.19 11:29:00,11:29:00,37
2026.02.19 11:33:00,11:33:00,56
2026.02.19 11:34:00,11:34:00,41
2026.02.19 11:35:00,11:35:00,89
2026.02.19 11:36:00,11:36:00,15
2026.02.19 11:37:00,11:37:00,79
2026.02.19 11:38:00,11:38:00,101
2026.02.19 11:39:00,11:39:00,102
2026.02.19 11:40:00,11:40:00,87
2026.02.19 11:41:00,11:41:00,42
2026.02.19 11:53:00,11:53:00,26
2026.02.19 11:54:00,11:54:00,10
2026.02.19 12:10:00,12:10:00,30
2026.02.19 12:11:00,12:11:00,69
2026.02.19 12:12:00,12:12:00,109
2026.02.19 12:13:00,12:13:00,61
2026.02.19 12:14:00,12:14:00,46
2026.02.19 12:15:00,12:15:00,45
2026.02.19 12:16:00,12:16:00,13
2026.02.19 12:59:00,12:59:00,17
2026.02.19 13:02:00,13:02:00,17
2026.02.19 13:03:00,13:03:00,32
2026.02.19 13:04:00,13:04:00,35
2026.02.19 13:05:00,13:05:00,32
2026.02.19 13:06:00,13:06:00,29
2026.02.19 13:07:00,13:07:00,49
2026.02.19 13:08:00,13:08:00,20
2026.02.19 13:09:00,13:09:00,21
2026.02.19 13:10:00,13:10:00,29
2026.02.19 13:12:00,13:12:00,12
2026.02.19 13:45:00,13:45:00,11
2026.02.19 13:53:00,13:53:00,10
2026.02.19 13:54:00,13:54:00,55
2026.02.19 13:55:00,13:55:00,9
2026.02.19 13:56:00,13:56:00,10
2026.02.19 13:58:00,13:58:00,6
2026.02.19 14:00:00,14:00:00,11
2026.02.19 14:01:00,14:01:00,63
2026.02.19 14:03:00,14:03:00,41
2026.02.19 14:04:00,14:04:00,36
2026.02.19 14:05:00,14:05:00,76
2026.02.19 14:06:00,14:06:00,40
2026.02.19 14:07:00,14:07:00,53
2026.02.19 14:08:00,14:08:00,25
2026.02.19 14:09:00,14:09:00,37
2026.02.19 14:40:00,14:40:00,14
2026.02.19 14:42:00,14:42:00,16
2026.02.19 14:44:00,14:44:00,32
2026.02.19 14:46:00,14:46:00,40
2026.02.19 14:47:00,14:47:00,12
2026.02.19 14:48:00,14:48:00,38
2026.02.19 14:49:00,14:49:00,12
2026.02.19 14:50:00,14:50:00,29
2026.02.19 14:51:00,14:51:00,36
2026.02.19 14:52:00,14:52:00,26
2026.02.19 14:53:00,14:53:00,40
2026.02.19 14:54:00,14:54:00,16
2026.02.19 14:55:00,14:55:00,21
2026.02.19 14:56:00,14:56:00,22
