Datum,Zeit,Schritte
2026.02.22 19:49:18,19:49:18,7
2026.02.22 19:49:32,19:49:32,26
2026.02.22 19:50:45,19:50:45,29
2026.02.22 20:00:17,20:00:17,21
2026.02.22 20:02:55,20:02:55,12
2026.02.22 20:04:46,20:04:46,103
2026.02.22 20:08:28,20:08:28,61
2026.02.22 20:09:32,20:09:32,37
2026.02.22 20:17:47,20:17:47,7
2026.02.22 20:18:01,20:18:01,10
2026.02.22 20:19:21,20:19:21,46
2026.02.22 20:25:28,20:25:28,109
2026.02.22 20:28:26,20:28:26,62
2026.02.22 20:31:40,20:31:40,16
2026.02.22 20:32:12,20:32:12,66
2026.02.22 20:47:27,20:47:27,16
2026.02.22 20:47:59,20:47:59,5
2026.02.22 20:48:02,20:48:02,20
2026.02.22 20:49:50,20:49:50,22
2026.02.22 20:50:32,20:50:32,41
2026.02.22 20:51:39,20:51:39,6
2026.02.22 21:14:47,21:14:47,6
2026.02.22 21:14:59,21:14:59,10
2026.02.22 21:31:42,21:31:42,6
2026.02.22 21:31:54,21:31:54,11
2026.02.22 21:32:29,21:32:29,7
2026.02.22 21:33:16,21:33:16,26
2026.02.22 21:34:17,21:34:17,39
2026.02.22 21:42:59,21:42:59,13
2026.02.22 21:44:00,21:44:00,14
2026.02.22 21:44:38,21:44:38,20
2026.02.22 21:53:42,21:53:42,7
2026.02.22 21:53:56,21:53:56,11
