Datum,Zeit,Schritte
2026.02.16 10:23:00,10:23:00,13
2026.02.16 11:07:00,11:07:00,53
2026.02.16 11:10:00,11:10:00,52
2026.02.16 11:11:00,11:11:00,45
2026.02.16 11:15:00,11:15:00,46
2026.02.16 11:16:00,11:16:00,30
2026.02.16 11:17:00,11:17:00,10
2026.02.16 11:18:00,11:18:00,16
2026.02.16 11:19:00,11:19:00,25
2026.02.16 11:20:00,11:20:00,25
2026.02.16 11:21:00,11:21:00,74
2026.02.16 11:22:00,11:22:00,21
2026.02.16 11:23:00,11:23:00,38
2026.02.16 11:24:00,11:24:00,45
2026.02.16 11:25:00,11:25:00,72
2026.02.16 11:26:00,11:26:00,105
2026.02.16 11:27:00,11:27:00,119
2026.02.16 11:28:00,11:28:00,119
2026.02.16 11:29:00,11:29:00,119
2026.02.16 11:30:00,11:30:00,112
2026.02.16 11:31:00,11:31:00,34
2026.02.16 11:32:00,11:32:00,24
2026.02.16 12:24:00,12:24:00,31
2026.02.16 12:39:00,12:39:00,17
2026.02.16 12:40:00,12:40:00,8
2026.02.16 12:41:00,12:41:00,71
2026.02.16 12:42:00,12:42:00,110
2026.02.16 12:43:00,12:43:00,82
2026.02.16 12:44:00,12:44:00,47
2026.02.16 12:45:00,12:45:00,120
2026.02.16 12:46:00,12:46:00,112
2026.02.16 12:47:00,12:47:00,100
2026.02.16 12:48:00,12:48:00,17
2026.02.16 12:49:00,12:49:00,44
2026.02.16 12:50:00,12:50:00,74
2026.02.16 12:51:00,12:51:00,67
2026.02.16 12:52:00,12:52:00,13
2026.02.16 12:53:00,12:53:00,36
2026.02.16 12:54:00,12:54:00,34
2026.02.16 12:56:00,12:56:00,12
2026.02.16 12:57:00,12:57:00,0
2026.02.16 12:58:00,12:58:00,0
2026.02.16 12:59:00,12:59:00,15
2026.02.16 13:00:00,13:00:00,21
2026.02.16 13:01:00,13:01:00,68
2026.02.16 13:02:00,13:02:00,22
2026.02.16 13:03:00,13:03:00,0
2026.02.16 13:04:00,13:04:00,11
2026.02.16 13:05:00,13:05:00,0
2026.02.16 13:06:00,13:06:00,24
2026.02.16 13:07:00,13:07:00,50
2026.02.16 13:08:00,13:08:00,11
2026.02.16 13:09:00,13:09:00,18
2026.02.16 13:10:00,13:10:00,66
2026.02.16 13:11:00,13:11:00,13
2026.02.16 13:12:00,13:12:00,0
2026.02.16 13:13:00,13:13:00,0
2026.02.16 13:14:00,13:14:00,15
2026.02.16 13:15:00,13:15:00,0
2026.02.16 13:16:00,13:16:00,0
2026.02.16 13:17:00,13:17:00,19
2026.02.16 13:18:00,13:18:00,14
2026.02.16 13:19:00,13:19:00,10
2026.02.16 13:20:00,13:20:00,67
2026.02.16 13:21:00,13:21:00,0
2026.02.16 13:22:00,13:22:00,0
2026.02.16 13:23:00,13:23:00,26
2026.02.16 13:24:00,13:24:00,0
2026.02.16 13:25:00,13:25:00,0
2026.02.16 13:26:00,13:26:00,11
2026.02.16 13:27:00,13:27:00,0
2026.02.16 13:28:00,13:28:00,13
2026.02.16 13:29:00,13:29:00,20
2026.02.16 13:30:00,13:30:00,49
2026.02.16 13:31:00,13:31:00,58
2026.02.16 13:32:00,13:32:00,6
