Datum,Zeit,Schritte
2026.01.01 00:00:00,00:00:00,614
2026.01.01 00:10:00,00:10:00,8
2026.01.01 00:50:00,00:50:00,42
2026.01.01 01:00:00,01:00:00,66
2026.01.01 01:10:00,01:10:00,28
2026.01.01 10:30:00,10:30:00,24
2026.01.01 10:40:00,10:40:00,104
2026.01.01 10:50:00,10:50:00,6
2026.01.01 11:00:00,11:00:00,131
2026.01.01 12:30:00,12:30:00,250
2026.01.01 12:40:00,12:40:00,8
2026.01.01 14:10:00,14:10:00,243
2026.01.01 14:40:00,14:40:00,30
2026.01.01 14:50:00,14:50:00,41
2026.01.01 15:00:00,15:00:00,45
2026.01.01 15:20:00,15:20:00,54
2026.01.01 15:30:00,15:30:00,1
2026.01.01 15:40:00,15:40:00,12
2026.01.01 15:50:00,15:50:00,55
2026.01.01 16:00:00,16:00:00,93
2026.01.01 16:40:00,16:40:00,6
2026.01.01 18:20:00,18:20:00,66
2026.01.01 18:50:00,18:50:00,7
2026.01.01 19:20:00,19:20:00,10
2026.01.01 19:50:00,19:50:00,64
2026.01.01 20:00:00,20:00:00,122
2026.01.01 20:10:00,20:10:00,218
2026.01.01 20:20:00,20:20:00,961
2026.01.01 20:30:00,20:30:00,87
2026.01.01 20:40:00,20:40:00,45
2026.01.01 20:50:00,20:50:00,77
2026.01.01 21:00:00,21:00:00,12
2026.01.01 21:10:00,21:10:00,74
2026.01.01 21:20:00,21:20:00,151
2026.01.01 21:30:00,21:30:00,18
2026.01.01 21:40:00,21:40:00,530
2026.01.01 21:50:00,21:50:00,815
2026.01.01 22:00:00,22:00:00,707
2026.01.01 22:10:00,22:10:00,669
2026.01.01 22:20:00,22:20:00,76
2026.01.01 23:10:00,23:10:00,11
